benchmark,LICM,baseline,improvement,percent_improvement
ackermann,1464231.0,1464231.0,0.0,0.0
arithmetic-series,7.0,7.0,0.0,0.0
armstrong,133.0,133.0,0.0,0.0
bbs,132.0,137.0,5.0,3.6496350364963503
bin-search,331.0,358.0,27.0,7.5418994413407825
binary-fmt,100.0,100.0,0.0,0.0
binpow,105.0,105.0,0.0,0.0
bitshift,167.0,167.0,0.0,0.0
bitwise-ops,1690.0,1690.0,0.0,0.0
braille,325.0,325.0,0.0,0.0
catalan,659378.0,659378.0,0.0,0.0
check-primes,7091.0,8468.0,1377.0,16.261218705715635
collatz,,169.0,,
combination,178.0,178.0,0.0,0.0
dayofweek,253.0,269.0,16.0,5.947955390334572
delannoy,5748752.0,5748752.0,0.0,0.0
digital-root,247.0,247.0,0.0,0.0
euclid,544.0,563.0,19.0,3.374777975133215
fact,229.0,229.0,0.0,0.0
factors,,72.0,,
fib_recursive,2693.0,2693.0,0.0,0.0
fitsinside,10.0,10.0,0.0,0.0
fizz-buzz,2929.0,3652.0,723.0,19.7973713033954
gcd,,46.0,,
gebmm,,3011.0,,
geometric-sum,35.0,35.0,0.0,0.0
gpf,,759.0,,
grad_desc,191.0,229.0,38.0,16.593886462882097
graycode,1259.0,1259.0,0.0,0.0
hamming,117.0,117.0,0.0,0.0
hanoi,99.0,99.0,0.0,0.0
is-decreasing,116.0,127.0,11.0,8.661417322834646
karatsuba,1510.0,1548.0,38.0,2.454780361757106
lcm,2071.0,2326.0,255.0,10.963026655202064
legendre,,153.0,,
loopfact,101.0,116.0,15.0,12.931034482758621
mccarthy91,1385.0,1385.0,0.0,0.0
mod_inv,486.0,558.0,72.0,12.903225806451612
mod_pow,225.0,243.0,18.0,7.407407407407407
montgomery,17.0,17.0,0.0,0.0
mountain,,100.0,,
orders,,5352.0,,
palindrome,,298.0,,
pascals-row,125.0,146.0,21.0,14.383561643835616
perfect,232.0,232.0,0.0,0.0
permutation,118.0,130.0,12.0,9.23076923076923
primes-between,,574100.0,,
pythagorean_triple,,61518.0,,
quadratic,577.0,785.0,208.0,26.496815286624205
recfact,104.0,104.0,0.0,0.0
rectangles-area-difference,14.0,14.0,0.0,0.0
relative-primes,1839.0,1923.0,84.0,4.368174726989079
reverse,,46.0,,
rot13,8.0,8.0,0.0,0.0
sqrt_bin_search,744.0,744.0,0.0,0.0
squares,153.0,153.0,0.0,0.0
sum-bits,73.0,73.0,0.0,0.0
sum-check,5018.0,5018.0,0.0,0.0
sum-digits,191.0,219.0,28.0,12.785388127853881
sum-divisible-by-m,16.0,16.0,0.0,0.0
sum-divisors,192.0,159.0,-33.0,-20.754716981132077
sum-of-cubes,8.0,8.0,0.0,0.0
sum-sq-diff,2640.0,3038.0,398.0,13.100724160631994
totient,,253.0,,
triangle,188.0,188.0,0.0,0.0
up-arrow,234.0,252.0,18.0,7.142857142857143
