benchmark,run,result
quadratic,baseline,785
quadratic,LICM,577
montgomery,baseline,17
montgomery,LICM,17
primes-between,baseline,574100
primes-between,LICM,timeout
mod_pow,baseline,243
mod_pow,LICM,225
orders,baseline,5352
orders,LICM,timeout
sum-check,baseline,5018
sum-check,LICM,5018
palindrome,baseline,298
palindrome,LICM,timeout
rot13,baseline,8
rot13,LICM,8
totient,baseline,253
totient,LICM,incorrect
fib_recursive,baseline,2693
fib_recursive,LICM,2693
relative-primes,baseline,1923
relative-primes,LICM,1839
hanoi,baseline,99
hanoi,LICM,99
is-decreasing,baseline,127
is-decreasing,LICM,116
squares,baseline,153
squares,LICM,153
graycode,baseline,1259
graycode,LICM,1259
grad_desc,baseline,229
grad_desc,LICM,191
check-primes,baseline,8468
check-primes,LICM,7091
sum-sq-diff,baseline,3038
sum-sq-diff,LICM,2640
fitsinside,baseline,10
fitsinside,LICM,10
hamming,baseline,117
hamming,LICM,117
fact,baseline,229
fact,LICM,229
loopfact,baseline,116
loopfact,LICM,101
recfact,baseline,104
recfact,LICM,104
geometric-sum,baseline,35
geometric-sum,LICM,35
legendre,baseline,153
legendre,LICM,incorrect
factors,baseline,72
factors,LICM,timeout
perfect,baseline,232
perfect,LICM,232
binpow,baseline,105
binpow,LICM,105
bitshift,baseline,167
bitshift,LICM,167
digital-root,baseline,247
digital-root,LICM,247
tail-call,baseline,missing
tail-call,LICM,missing
up-arrow,baseline,252
up-arrow,LICM,234
mccarthy91,baseline,1385
mccarthy91,LICM,1385
sum-divisors,baseline,159
sum-divisors,LICM,192
permutation,baseline,130
permutation,LICM,118
combination,baseline,178
combination,LICM,178
bin-search,baseline,358
bin-search,LICM,331
ackermann,baseline,1464231
ackermann,LICM,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,LICM,incorrect
braille,baseline,325
braille,LICM,325
gebmm,baseline,3011
gebmm,LICM,incorrect
euclid,baseline,563
euclid,LICM,544
bbs,baseline,137
bbs,LICM,132
sum-of-cubes,baseline,8
sum-of-cubes,LICM,8
binary-fmt,baseline,100
binary-fmt,LICM,100
dayofweek,baseline,269
dayofweek,LICM,253
lcm,baseline,2326
lcm,LICM,2071
gcd,baseline,46
gcd,LICM,timeout
triangle,baseline,188
triangle,LICM,188
catalan,baseline,659378
catalan,LICM,659378
gpf,baseline,759
gpf,LICM,timeout
armstrong,baseline,133
armstrong,LICM,133
pascals-row,baseline,146
pascals-row,LICM,125
collatz,baseline,169
collatz,LICM,timeout
sum-bits,baseline,73
sum-bits,LICM,73
arithmetic-series,baseline,7
arithmetic-series,LICM,7
sqrt_bin_search,baseline,744
sqrt_bin_search,LICM,744
mountain,baseline,100
mountain,LICM,incorrect
rectangles-area-difference,baseline,14
rectangles-area-difference,LICM,14
mod_inv,baseline,558
mod_inv,LICM,486
karatsuba,baseline,1548
karatsuba,LICM,1510
reverse,baseline,46
reverse,LICM,timeout
sum-divisible-by-m,baseline,16
sum-divisible-by-m,LICM,16
fizz-buzz,baseline,3652
fizz-buzz,LICM,2929
bitwise-ops,baseline,1690
bitwise-ops,LICM,1690
sum-digits,baseline,219
sum-digits,LICM,191
delannoy,baseline,5748752
delannoy,LICM,5748752
