benchmark,run,result
quadratic,baseline,785
quadratic,LVN,500
montgomery,baseline,17
montgomery,LVN,17
mod_pow,baseline,243
mod_pow,LVN,timeout
orders,baseline,5352
orders,LVN,5352
rot13,baseline,8
rot13,LVN,8
totient,baseline,253
totient,LVN,253
fib_recursive,baseline,2693
fib_recursive,LVN,timeout
relative-primes,baseline,1923
relative-primes,LVN,timeout
hanoi,baseline,99
hanoi,LVN,99
is-decreasing,baseline,127
is-decreasing,LVN,120
grad_desc,baseline,229
grad_desc,LVN,229
check-primes,baseline,8468
check-primes,LVN,timeout
sum-sq-diff,baseline,3038
sum-sq-diff,LVN,timeout
fitsinside,baseline,10
fitsinside,LVN,10
fact,baseline,229
fact,LVN,167
loopfact,baseline,116
loopfact,LVN,79
recfact,baseline,104
recfact,LVN,timeout
sum-to-ten,baseline,143
sum-to-ten,LVN,89
legendre,baseline,153
legendre,LVN,101
factors,baseline,72
factors,LVN,72
perfect,baseline,232
perfect,LVN,232
binpow,baseline,105
binpow,LVN,105
bitshift,baseline,167
bitshift,LVN,timeout
mccarthy91,baseline,1385
mccarthy91,LVN,1385
permutation,baseline,130
permutation,LVN,timeout
combination,baseline,178
combination,LVN,178
bin-search,baseline,358
bin-search,LVN,timeout
ackermann,baseline,1464231
ackermann,LVN,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,LVN,61518
euclid,baseline,563
euclid,LVN,timeout
bbs,baseline,137
bbs,LVN,137
sum-of-cubes,baseline,8
sum-of-cubes,LVN,7
binary-fmt,baseline,100
binary-fmt,LVN,100
dayofweek,baseline,269
dayofweek,LVN,timeout
lcm,baseline,2326
lcm,LVN,2326
gcd,baseline,46
gcd,LVN,46
catalan,baseline,659378
catalan,LVN,659378
collatz,baseline,169
collatz,LVN,169
sqrt_bin_search,baseline,744
sqrt_bin_search,LVN,313
rectangles-area-difference,baseline,14
rectangles-area-difference,LVN,14
mod_inv,baseline,558
mod_inv,LVN,305
sum-divisible-by-m,baseline,16
sum-divisible-by-m,LVN,8
fizz-buzz,baseline,3652
fizz-buzz,LVN,1998
sum-digits,baseline,219
sum-digits,LVN,116
delannoy,baseline,5748752
delannoy,LVN,3647242
