benchmark,baseline,tdce,improvement,percent_improvement
ackermann,1464231.0,1464231.0,0.0,0.0
armstrong,133.0,130.0,3.0,2.255639097744361
bbs,137.0,137.0,0.0,0.0
bin-search,358.0,357.0,1.0,0.27932960893854747
binary-fmt,100.0,100.0,0.0,0.0
binpow,105.0,105.0,0.0,0.0
bitshift,167.0,167.0,0.0,0.0
bitwise-ops,1690.0,1689.0,1.0,0.05917159763313609
catalan,659378.0,659378.0,0.0,0.0
check-primes,8468.0,8419.0,49.0,0.5786490316485593
collatz,169.0,169.0,0.0,0.0
combination,178.0,178.0,0.0,0.0
dayofweek,269.0,268.0,1.0,0.37174721189591076
delannoy,5748752.0,5748751.0,1.0,1.7395079836458417e-05
digital-root,247.0,247.0,0.0,0.0
euclid,563.0,562.0,1.0,0.17761989342806395
fact,229.0,228.0,1.0,0.4366812227074236
factors,72.0,72.0,0.0,0.0
fib_recursive,2693.0,2693.0,0.0,0.0
fitsinside,10.0,10.0,0.0,0.0
fizz-buzz,3652.0,3552.0,100.0,2.738225629791895
gcd,46.0,46.0,0.0,0.0
gebmm,3011.0,3011.0,0.0,0.0
geometric-sum,35.0,35.0,0.0,0.0
gpf,759.0,712.0,47.0,6.19235836627141
grad_desc,229.0,229.0,0.0,0.0
graycode,1259.0,,,
hamming,117.0,117.0,0.0,0.0
hanoi,99.0,99.0,0.0,0.0
is-decreasing,127.0,127.0,0.0,0.0
karatsuba,1548.0,1548.0,0.0,0.0
lcm,2326.0,2326.0,0.0,0.0
legendre,153.0,153.0,0.0,0.0
loopfact,116.0,115.0,1.0,0.8620689655172413
mccarthy91,1385.0,1385.0,0.0,0.0
mod_inv,558.0,555.0,3.0,0.5376344086021505
mod_pow,243.0,243.0,0.0,0.0
montgomery,17.0,17.0,0.0,0.0
mountain,100.0,100.0,0.0,0.0
orders,5352.0,5352.0,0.0,0.0
palindrome,298.0,298.0,0.0,0.0
pascals-row,146.0,,,
perfect,232.0,232.0,0.0,0.0
permutation,130.0,129.0,1.0,0.7692307692307693
primes-between,574100.0,574100.0,0.0,0.0
pythagorean_triple,61518.0,61518.0,0.0,0.0
quadratic,785.0,783.0,2.0,0.25477707006369427
recfact,104.0,103.0,1.0,0.9615384615384616
rectangles-area-difference,14.0,14.0,0.0,0.0
relative-primes,1923.0,1914.0,9.0,0.46801872074882994
reverse,46.0,,,
rot13,8.0,8.0,0.0,0.0
sqrt_bin_search,744.0,718.0,26.0,3.4946236559139785
sum-bits,73.0,73.0,0.0,0.0
sum-check,5018.0,5018.0,0.0,0.0
sum-digits,219.0,218.0,1.0,0.45662100456621
sum-divisible-by-m,16.0,16.0,0.0,0.0
sum-divisors,159.0,159.0,0.0,0.0
sum-of-cubes,8.0,8.0,0.0,0.0
sum-sq-diff,3038.0,3036.0,2.0,0.06583278472679395
sum-to-ten,143.0,142.0,1.0,0.6993006993006993
totient,253.0,253.0,0.0,0.0
triangle,188.0,188.0,0.0,0.0
up-arrow,252.0,252.0,0.0,0.0
